"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"US_004.00","","TC_004.00.01","0","1","0","0","0"
"US_002.00","","TC_002.00.02","0","1","0","0","0"
"UC_006.00","","TC_006.00.01","0","1","0","0","0"
"UC_007.00","","TC_007.00.02","0","1","0","0","0"
"US_004.00","","TC_004.00.02","0","1","0","0","0"
"US_004.00","","TC_004.00.04","0","1","0","0","0"
"","","US_001.00","0","7","0","1","0"
"US_002.00","","TC_002.00.01","0","1","0","0","0"
"US_002.00","","TC_002.00.03","0","1","0","0","0"
"US_004.00","","TC_004.00.03","0","1","0","0","0"
"UC_007.00","","TC_007.00.01","0","1","0","0","0"
