"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Nov 24 00:48:04 GMT 2022","Thu Nov 24 00:48:04 GMT 2022","467","tests","test_login","TestAuthorizationClass","","","Login without password impossible",""
"passed","Thu Nov 24 00:48:06 GMT 2022","Thu Nov 24 00:48:06 GMT 2022","525","tests","test_login","TestAuthorizationClass","","","Login without user_name impossible",""
"passed","Thu Nov 24 00:48:20 GMT 2022","Thu Nov 24 00:48:26 GMT 2022","6252","tests.test_cart","test_inventory","TestCartClass","","","Remove from cart",""
"skipped","Thu Nov 24 00:48:07 GMT 2022","Thu Nov 24 00:48:13 GMT 2022","5769","tests","test_login","TestAuthorizationClass","","","Lockout login",""
"passed","Thu Nov 24 00:48:00 GMT 2022","Thu Nov 24 00:48:06 GMT 2022","5851","tests","test_login","TestAuthorizationClass","","","Registered user is able to login with valid credentials",""
"passed","Thu Nov 24 00:48:25 GMT 2022","Thu Nov 24 00:48:26 GMT 2022","667","tests.test_cart","test_sorting","TestCartClass","","","Sort products DESC price",""
"passed","Thu Nov 24 00:48:14 GMT 2022","Thu Nov 24 00:48:16 GMT 2022","1719","tests.test_cart","test_checkout","TestCheckoutClass","","","Successfully purchase",""
"passed","Thu Nov 24 00:48:00 GMT 2022","Thu Nov 24 00:48:01 GMT 2022","824","tests","test_login","TestAuthorizationClass","","","Registered user is able to login with valid credentials",""
"passed","Thu Nov 24 00:48:02 GMT 2022","Thu Nov 24 00:48:03 GMT 2022","580","tests","test_login","TestAuthorizationClass","","","Registered user is able to login with valid credentials",""
"failed","Thu Nov 24 00:48:07 GMT 2022","Thu Nov 24 00:48:14 GMT 2022","6420","tests","test_login","TestAuthorizationClass","","","Purpose to fail case",""
"passed","Thu Nov 24 00:48:27 GMT 2022","Thu Nov 24 00:48:28 GMT 2022","681","tests.test_cart","test_sorting","TestCartClass","","","Sort products Z-A",""
"passed","Thu Nov 24 00:48:20 GMT 2022","Thu Nov 24 00:48:21 GMT 2022","1128","tests.test_cart","test_inventory","TestCartClass","","","Button text after remove",""
"passed","Thu Nov 24 00:48:24 GMT 2022","Thu Nov 24 00:48:24 GMT 2022","759","tests.test_cart","test_sorting","TestCartClass","","","Sort products ASC price",""
"passed","Thu Nov 24 00:48:18 GMT 2022","Thu Nov 24 00:48:19 GMT 2022","940","tests.test_cart","test_inventory","TestCartClass","","","Bage change when adding",""
"passed","Thu Nov 24 00:48:15 GMT 2022","Thu Nov 24 00:48:17 GMT 2022","1468","tests.test_cart","test_checkout","TestCheckoutClass","","","Invalid message on checkout step",""
"passed","Thu Nov 24 00:48:22 GMT 2022","Thu Nov 24 00:48:23 GMT 2022","749","tests.test_cart","test_sorting","TestCartClass","","","Sort products A-Z",""
"passed","Thu Nov 24 00:48:17 GMT 2022","Thu Nov 24 00:48:19 GMT 2022","1686","tests.test_cart","test_checkout","TestCheckoutClass","","","Invalid message on checkout step ZIP missed",""
